,医药生物,电子,银行,食品饮料,计算机,房地产,传媒,家用电器,电气设备,汽车
2019-05-14,36741.580774,28555.662257,68912.056555,31685.255922,19592.105154,22109.214967,13647.979898,11959.976173,16412.023031,17242.188522
2019-05-15,37615.904115,29065.443294,69879.380265,33376.317543,19805.876766,22478.901706,13890.165052,12236.428848,16919.386532,17587.59137
2019-05-16,38145.197251,28783.681725,70033.507626,33612.604716,19857.35882,22638.972869,13913.26495,12300.06073,17044.288526,17728.060543
2019-05-17,37116.478988,28001.571719,69274.972348,32776.244381,19130.84944,21898.197721,13351.176836,12058.12817,16412.279602,17069.7501
2019-05-20,36569.000804,27885.847593,69627.791372,32020.383124,19461.352961,21741.966778,13299.847505,11989.792461,16266.116819,16758.709887
2019-05-21,37177.693541,28524.291418,70015.631082,32288.060919,19761.923679,22023.145845,13482.540433,12189.302494,16503.983117,16990.36852
2019-05-22,36976.396268,28484.098611,69899.834702,32053.289193,20065.882052,21878.298841,13421.700741,12174.512401,16436.765692,16805.897343
2019-05-23,36119.000144,27638.547712,69611.14792,31100.063753,19430.91445,21527.325036,13053.129646,11875.153368,16112.722929,16288.797733
2019-05-24,35978.833633,27220.213366,70027.056947,31512.799694,19082.057477,21510.013845,13008.473259,11881.708747,16057.464199,16432.55094
2019-05-27,36625.784023,28231.185317,70118.118391,31709.392494,19947.278416,21796.553133,13389.904504,11846.487543,16469.811,16660.545931
2019-05-28,36807.956493,28303.791604,70487.874112,32131.064016,19990.399255,22018.472475,13418.832578,11970.355129,16563.884607,16977.580632
2019-05-29,36606.545292,28525.628263,70040.835693,32424.851158,19930.968451,21813.070533,13381.856668,11896.582938,16504.79157,16883.531566
2019-05-30,36229.726627,28451.149374,70216.775465,32349.143198,19571.399225,21547.825096,14040.057897,11707.630624,16357.053383,16040.363933
2019-05-31,36359.483058,28513.476797,69879.486734,32019.043818,19576.529897,21674.02322,14038.68056,11675.903979,16482.049475,15958.831998
2019-06-03,35998.962447,28380.831996,69999.188604,31998.309634,19278.873714,21458.559287,13799.00914,11676.375198,16136.187944,15903.340144
2019-06-04,35410.557656,27944.0093,70022.530492,31367.392213,18927.993705,21275.466926,13690.519958,11503.859893,15931.770156,15795.433238
2019-06-05,34667.132193,28001.60945,70303.993076,31362.044876,18971.048392,21392.334946,13771.009793,11546.365615,15944.73465,15747.182122
2019-06-06,33975.375516,27143.82888,70168.942141,30932.813891,18472.522866,21238.729653,13407.848361,11423.937808,15562.076606,15576.629567
2019-06-10,34294.042096,27556.899564,70933.183893,31557.660935,18705.130872,21520.948109,13495.369167,11570.371187,15802.130719,15775.524542
2019-06-11,35415.64607,28564.956189,71539.976264,33048.695122,19472.247436,22106.482088,14002.176549,11902.864354,16256.909625,16210.66853
2019-06-12,35247.788524,28381.922112,71323.019546,32728.328479,19310.806678,21927.657545,13913.01557,11790.614779,16134.733539,16033.212632
2019-06-13,35395.692582,28321.141002,71127.793851,32707.043695,19554.328036,21857.326808,14103.665733,11675.003017,16291.888094,16035.792644
2019-06-14,35059.236818,27600.536384,71007.642588,32506.93668,19056.14388,21702.152802,13759.993284,11576.780195,16032.181602,15716.032468
2019-06-17,35277.474981,27440.194663,71229.108722,32371.572957,19025.568304,21656.569166,13857.287242,11538.246461,15930.317473,15711.414621
2019-06-18,35468.271682,27375.652961,71583.461521,32449.488033,19189.590375,21543.997854,13928.800509,11567.423335,15895.439285,15647.632488
2019-06-19,35916.823231,28213.70317,71478.903153,32879.655295,19494.849415,21675.475408,14147.481458,11536.064836,16096.144887,15859.711584
2019-06-20,36539.304564,28650.795158,72852.232303,34169.35334,19903.345153,22081.359252,14355.243161,11851.66643,16330.549547,16125.886384
2019-06-21,36850.652513,29193.166083,72382.062445,34228.712642,19905.023928,22140.541944,14660.198828,11970.014546,16562.902493,16359.467168
2019-06-24,36877.154287,28920.931812,72588.50119,34623.771961,19912.852195,22132.747617,14601.108872,12040.26986,16652.335303,16391.344668
2019-06-25,36573.212673,28587.25302,71440.34299,34589.865483,19614.601898,22066.759269,14421.726492,11935.078713,16493.085255,16140.054915
2019-06-26,37115.198352,28878.353796,71154.936686,34624.498074,19539.11237,21938.150715,14412.225064,11975.193772,16515.400449,16165.362984
2019-06-27,37487.688133,29656.532713,71716.919491,35285.587495,19710.088449,22031.419879,14426.940435,12010.333665,16600.192003,16224.892881
2019-06-28,37181.883867,29311.36695,71431.568636,35185.374979,19329.071414,21899.252211,14162.328689,12025.133184,16334.364768,16107.173347
2019-07-01,38260.710273,31147.291165,72170.147798,36786.060114,20235.738265,22408.127582,14582.920477,12562.028164,16775.955356,16490.099775
2019-07-02,38448.607182,30870.808533,72262.903627,36864.651802,20070.77925,22513.814363,14553.764002,12670.075009,16744.68328,16791.032173
2019-07-03,38387.484148,30431.936187,71129.142747,36012.203311,19680.792369,22670.099976,14586.095214,12521.115693,16648.498524,16734.561818
2019-07-04,37919.498906,30144.514544,71383.458978,35413.953747,19604.402701,22805.947721,14472.201193,12491.887258,16603.39202,16735.867832
2019-07-05,38369.83545,30352.178887,71180.562799,36201.1495,19744.074458,22546.594655,14482.720356,12630.757857,16606.596942,16771.034698
2019-07-08,38227.424546,29131.533679,69938.152693,35511.197236,18949.731044,22131.065358,14969.448098,12150.898536,15715.530263,16330.679863
2019-07-09,38270.058357,29149.685521,69622.88426,35453.462268,18956.822821,22027.828991,14992.478293,12062.991058,15753.826335,16531.47347
2019-07-10,38260.721932,29280.345824,69299.814592,35522.900437,18860.85927,21811.537606,14851.677251,12069.564237,15361.645822,16266.622417
2019-07-11,38401.895492,29170.30126,69455.923051,35330.710557,18714.993857,21681.303984,14830.54705,12088.436273,15258.813971,16222.370802
2019-07-12,38563.570574,29166.753521,69929.462822,35627.414007,18737.683461,21827.161575,14873.832416,12153.453713,15461.004546,16052.868528
2019-07-15,38687.479358,29555.640222,69763.197623,35383.322697,19344.10679,21860.485057,15093.009545,12104.953437,15551.647125,16205.885981
2019-07-16,38577.019773,29744.669066,69684.88836,34943.126057,19320.366345,22035.674304,15141.509011,11924.960493,15548.309044,16158.001467
2019-07-17,38424.987253,30059.327914,69357.22268,34812.692563,19315.094012,22179.215127,15124.426468,11817.953326,15558.845162,16233.410543
2019-07-18,37830.277057,29334.710193,69237.378119,34297.571857,18874.317138,22189.712507,14886.194208,11719.814373,15346.826581,15916.217649
2019-07-19,37872.204,29389.750083,69915.367112,34560.516505,18991.220106,22663.960297,14992.14225,11720.681081,15455.791179,16025.312833
2019-07-22,37355.935966,29100.418389,69776.340059,34509.791801,18560.951636,22446.864975,14600.346838,11644.259665,15228.029984,15707.556056
2019-07-23,37647.211603,29757.718483,69966.728653,34195.518478,18914.674533,22213.294951,14751.239421,11738.383336,15480.102966,15912.476985
2019-07-24,37949.343468,30512.414246,70283.292945,34124.498197,19255.088252,22245.354691,14871.035531,11817.052968,15649.935821,16152.081397
2019-07-25,38089.048003,31275.183005,70926.930617,34568.174767,19421.982629,22317.997464,14980.087367,11858.613963,15705.784133,16125.728239
2019-07-26,38323.91307,31291.184436,70898.166464,34573.969572,19358.225393,22328.442272,14945.217366,11879.623713,15763.861645,16143.394429
2019-07-29,38077.674161,31634.293371,70779.130118,34896.125109,19314.187663,22204.306955,14905.726368,11843.82626,15770.524045,16101.378508
2019-07-30,38311.814454,31359.042687,71056.91142,34807.165604,19386.161945,22313.545105,15173.941286,11984.603372,15813.110959,16244.365592
2019-07-31,38099.842534,31464.799785,70659.380284,34343.295504,19303.348455,21794.521356,15048.77192,11921.521621,15721.151678,16113.257194
2019-08-01,37789.715293,31416.249702,70115.366263,33870.144523,19251.19261,21462.157191,15020.522131,11736.021661,15642.97413,16004.596353
2019-08-02,37466.489063,30668.652936,69334.405377,33626.472383,18957.671724,21136.77733,14818.147155,11535.523437,15431.775689,15704.303013
2019-08-05,36791.943423,30170.427203,68163.911806,33072.552907,18745.786003,20674.940338,14536.69176,11346.712154,15214.216169,15390.242344
2019-08-06,36338.679136,29722.478548,67357.139715,33137.019867,18252.711393,20382.179281,14210.633986,11127.125042,14852.611401,15043.076824
2019-08-07,36537.579741,29386.715252,67098.00217,32993.50593,18012.197452,20448.950681,14085.715354,11058.236434,14819.710813,14983.786307
2019-08-08,37092.651091,29916.789035,68033.374454,33601.085112,18167.875218,20413.605677,14211.429638,11165.396595,14882.393607,15210.800996
2019-08-09,37016.386354,29554.06214,68420.366425,33207.361347,17908.937448,20105.948709,14073.545303,11023.022934,14712.538049,15105.50959
2019-08-12,37511.006795,30981.075565,69081.040605,34343.870798,18395.390771,20418.768688,14322.453074,11103.744878,15010.386179,15259.522351
2019-08-13,37568.850171,30938.063603,68532.13458,34256.486822,18176.229857,20226.27648,14196.919594,11039.492414,14917.155884,15065.149406
2019-08-14,38130.532219,31190.71937,68455.726323,34886.21064,18307.981137,20219.566515,14283.677016,11065.741964,14968.897371,15191.532624
2019-08-15,38464.772743,31843.456828,68461.891471,34870.436545,18641.25692,20233.929104,14369.154513,11016.527066,15068.301573,15265.965549
2019-08-16,38787.568901,32057.118172,68258.565639,35373.46261,18813.867082,20216.911795,14491.176974,11041.717507,15013.563671,15282.082575
2019-08-19,39604.611573,33480.862562,68494.949207,35670.915599,19740.128403,20858.190937,15021.176927,11329.587244,15489.856,15603.666078
2019-08-20,39673.129808,33464.812136,68238.66265,35984.376841,19703.812812,20941.867764,15107.613699,11337.614254,15466.403663,15542.111401
2019-08-21,39428.972614,33875.490788,68097.654755,35733.420176,19711.949148,21030.279924,15062.263278,11439.889317,15714.511763,15499.054114
2019-08-22,39716.439506,33716.951475,67897.592322,36468.426869,19741.118619,20918.324827,15193.697005,11486.899651,15764.721706,15554.296961
2019-08-23,40631.933894,33676.669576,68421.122848,36897.738771,19648.813901,20877.676399,15101.813469,11526.106487,15686.590034,15598.695694
2019-08-26,40850.048363,33271.112349,67486.616972,36219.792002,19410.127095,20602.30627,14920.109643,11352.918723,15475.049594,15566.786921
2019-08-27,41453.391791,33755.190265,67950.371265,36758.292363,19954.121242,20825.198789,15259.168113,11637.370835,15739.236365,16030.773226
2019-08-28,40944.735251,33445.50212,67541.861514,36853.085221,19907.357964,20778.895118,15329.100079,11670.671349,15799.88249,16135.02525
2019-08-29,40869.843927,33716.840121,67294.642489,37142.988615,20167.986336,20470.947222,15411.561786,11578.923205,15716.906476,16021.6434
2019-08-30,40704.584589,33379.541464,67336.573884,37938.634728,19863.360861,20292.284203,15219.794634,11779.92012,15725.585153,15939.302073
2019-09-02,41405.19259,34501.709776,67644.612006,37976.321208,20709.176783,20496.428389,15754.663832,12085.089112,16155.110579,16065.06027
2019-09-03,41166.514029,35635.25487,67661.142156,37859.045178,20925.614917,20359.202156,15883.998475,12103.615057,16188.167643,15958.823057
2019-09-04,41131.886423,35861.915263,68901.553981,37693.322233,21128.702316,20874.304991,16018.599849,12246.96966,16342.508497,15979.219222
2019-09-05,41223.634643,36359.700949,69645.281536,38025.937024,21589.837571,20907.362038,16153.216555,12192.744624,16446.947513,16186.457983
2019-09-06,41517.809625,36591.684366,69990.587677,38032.523341,21787.654108,20951.920929,16243.524839,12224.670021,16502.55317,16530.318647
2019-09-09,41749.345558,38027.388987,69867.84174,38035.863875,22755.290761,21205.647249,16666.999712,12318.54251,16928.049609,16711.709561
